what,kind,bundleId,bundleVersion,description,time
started,bundle,ecobertura.ui,0.9.8.201007202152,"ecobertura.ui",1295342868107
started,bundle,net.sf.eclipsecs.core,5.3.0.201012121300,"net.sf.eclipsecs.core",1295342868107
started,bundle,net.sf.eclipsecs.ui,5.3.0.201012121300,"net.sf.eclipsecs.ui",1295342868107
os,sysinfo,,,"linux",1295342868111
arch,sysinfo,,,"x86",1295342868111
ws,sysinfo,,,"gtk",1295342868111
locale,sysinfo,,,"en_US",1295342868111
processors,sysinfo,,,"2",1295342868111
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1295342868111
java.runtime.version,sysinfo,,,"1.6.0_22-b04",1295342868111
java.specification.name,sysinfo,,,"Java Platform API Specification",1295342868111
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1295342868111
java.specification.version,sysinfo,,,"1.6",1295342868111
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1295342868111
java.version,sysinfo,,,"1.6.0_22",1295342868111
java.vm.info,sysinfo,,,"mixed mode, sharing",1295342868111
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1295342868111
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1295342868111
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1295342868111
java.vm.specification.version,sysinfo,,,"1.0",1295342868111
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1295342868111
java.vm.version,sysinfo,,,"17.1-b03",1295342868111
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295342870785
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295342940944
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295342942923
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.edit.text.openLocalFile",1295342953694
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295342953699
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295342956679
started,bundle,org.eclipse.jdt.launching,3.5.100.v20100526,"org.eclipse.jdt.launching",1295342965213
started,bundle,org.eclipse.jdt.junit.core,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit.core",1295342965649
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,2.0.0.v20100503,"org.eclipse.equinox.simpleconfigurator.manipulator",1295342965655
started,bundle,org.eclipse.equinox.frameworkadmin,2.0.0.v20100503,"org.eclipse.equinox.frameworkadmin",1295342965658
started,bundle,org.eclipse.wst.server.core,1.1.204.v20100908,"org.eclipse.wst.server.core",1295342965993
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.import",1295342966033
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295342966062
started,bundle,org.eclipse.jdt.apt.core,3.3.401.R36_v20100727-0110,"org.eclipse.jdt.apt.core",1295342966566
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.301.R36_v20100727-0110,"org.eclipse.jdt.apt.pluggable.core",1295342966577
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1295342967055
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1295342974555
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1295342975594
